seller_id,qty_order_by_seller
6560211a19b47992c3666cc44a7e94c0,1854
4a3ca9315b744ce9f8e9374361493884,1806
cc419e0650a3c5ba77189a1882b7556a,1706
1f50f920176fa81dab994f9023523100,1404
da8622b14eb17ae2831f4ac5b9dab84a,1314
955fee9216a65b617aa5c0531780ce60,1287
7a67c85e85bb2ce8582c35f2203ad736,1160
ea8482cd71df3c1969d7b9473ff13abc,1146
4869f7a5dfa277a7dca6462dcf3b52b2,1132
3d871de0142ce09b7081e2b9d1733cb1,1080
7c67e1448b00f6e969d365cea6b010ab,982
8b321bb669392f5163d04c59e235e066,943
1025f0e2d44d7041d6cf58b6550e0bfa,915
620c87c171fb2a6dd6e8bb4dec959fc6,740
a1043bafd471dff536d0c462352beb48,718
cca3071e3e9bb7d12640c9fbe2301306,712
f8db351d8c4c4c22c6835c19a46f01b0,667
e9779976487b77c6d4ac45f75ec7afe9,657
fa1c13f2614d7b5c4749cbc52fecda94,585
7d13fca15225358621be4086e1eb0964,565
d91fb3b7d041e83b64a00a3edfb37e4f,535
128639473a139ac0f3e5f5ade55873a5,533
391fc6631aebcf3004804e51b40bcf1e,526
d2374cbcbb3ca4ab1086534108cc3ab7,524
46dc3b2cc0980fb8ec44634e21d2718e,521
85d9eb9ddc5d00ca9336a2219c97bb13,509
53e4c6e0f4312d4d2107a8c9cddf45cd,473
1835b56ce799e6a4dc4eddc053f04066,423
4e922959ae960d389249c378d1c939f5,420
1900267e848ceeba8fa32d80c1a5f5a8,411
dbc22125167c298ef99da25668e1011f,406
16090f2ca825584b5a147ab24aa30c86,402
9f505651f4a6abe901a56cdc21508025,397
2138ccb85b11a4ec1e37afbd1c8eda1f,396
06a2c3af7b3aee5d69171b0e14f0ee87,392
218d46b86c1881d022bce9c68a7d4b15,388
8581055ce74af1daba164fdbd55a40de,387
8160255418d5aaa7dbdc9f4c64ebda44,385
4d6d651bd7684af3fffabd5f08d12e5a,369
53243585a1d6dc2643021fd1853d8905,358
c826c40d7b19f62a09e2d7c5e7295ee2,354
92eb0f42c21942b6552362b9b114707d,341
de722cd6dad950a92b7d4f82673f8833,339
7299e27ed73d2ad986de7f7c77d919fa,338
b2ba3715d723d245138f291a6fe42594,337
7e93a43ef30c4f03f38b393420bc753a,336
7ddcbb64b5bc1ef36ca8c151f6ec77df,334
5dceca129747e92ff8ef7a997dc4f8ca,325
ef506c96320abeedfb894c34db06f478,324
77530e9772f57a62c906e1c21538ab82,320
7142540dd4c91e2237acb7e911c4eba2,319
897060da8b9a21f655304d50fd935913,317
70a12e78e608ac31179aea7f8422044b,315
855668e0971d4dfd7bef1b6a4133b41b,312
fa40cc5b934574b62717c68f3d678b6d,307
87142160b41353c4e5fca2360caf6f92,305
fe2032dab1a61af8794248c8196565c9,294
c3cfdc648177fdbbbb35635a37472c53,278
37be5a7c751166fbc5f8ccba4119e043,272
634964b17796e64304cadf1ad3050fb7,268
1da3aeb70d7989d1e6d9b0e887f97c23,265
4c2b230173bb36f9b240f2b8ac11786e,261
c70c1b0d8ca86052f45a432a38b73958,261
562fc2f2c2863ab7e79a9e4388a58a14,260
17e34d8224d27a541263c4c64b11a56b,255
a3a38f4affed601eb87a97788c949667,254
88460e8ebdecbfecb5f9601833981930,248
1554a68530182680ad5c8b042c3ab563,247
c3867b4666c7d76867627c2f7fb22e21,245
0241d4d5d36f10f80c644447315af0bd,238
0ea22c1cfbdc755f86b9b54b39c16043,237
dc4a0fc896dc34b0d5bfec8438291c80,231
37515688008a7a40ac93e3b2e4ab203f,228
e5a3438891c0bfdb9394643f95273d8e,224
f7ba60f8c3f99e7ee4042fdef03b70c4,219
4b9750c8ad28220fe6702d4ecb7c898f,218
7aa4334be125fcdd2ba64b3180029f14,217
e9bc59e7b60fc3063eb2290deda4cced,216
d1c281d3ae149232351cd8c8cc885f0d,215
